ds;region;production
2019-01-18;GLD;14300.0
2019-01-18;RBNH;4989.96
2019-01-18;GLD;8288.89
2019-01-18;RBNH;39365.24
2019-01-18;NHN;8288.89
2019-01-18;NHN;61876.12
2019-01-18;NHN;0.0
2019-01-18;RBNH;22593.43
2019-01-18;RBNH;2854.46
2019-01-18;RBNH;10888.31
2019-01-18;GLD;12197.68
2019-01-18;GLD;7724.79
2019-01-18;NHN;154688.76
2019-01-18;NHN;100109.99
2019-01-18;GLD;5821.62
2019-01-18;GLD;7724.79
2019-01-18;AMS;50860.04
2019-01-18;AMS;164287.92
2019-01-18;NHN;13260.24
2019-01-18;AMS;17707.68
2019-01-18;NHN;171675.38
2019-01-18;NHN;34386.88
2019-01-18;AMS;10238.06
2019-01-18;NHN;89915.49
2019-01-18;AMS;17517.99
2019-01-18;NHN;24837.21
2019-01-18;AMS;3901.8
2019-01-18;RBNH;390.76
2019-01-18;RBNH;25088.41
2019-01-18;RBNH;22732.04
2019-01-18;RBNH;9992.52
2019-01-18;RBNH;7943.8
2019-01-18;RBNH;58801.16
2019-01-18;RBNH;14175.87
2019-01-18;NHN;74278.64
2019-01-18;AMS;174948.15
2019-01-18;RBNH;25555.39
2019-01-18;GLD;8288.89
2019-01-18;NHN;24837.21
2019-01-18;NHN;93284.53
2019-01-18;NHN;6116.7
2019-01-18;RBNH;4709.52
2019-01-18;NHN;2924.64
2019-01-18;NHN;6376.06
2019-01-18;AMS;64400.0
2019-01-18;AMS;32365.48
2019-01-18;NHN;143407.35
2019-01-21;GLD;8288.89
2019-01-21;AMS;6967.5
2019-01-21;GLD;10395.75
2019-01-21;AMS;8288.89
2019-01-21;NHN;0.0
2019-01-21;AMS;0.0
2019-01-21;AMS;24837.21
2019-01-21;NHN;37923.54
2019-01-21;AMS;0.0
2019-01-21;AMS;29385.32
2019-01-21;GLD;61876.12
2019-01-21;AMS;11598.02
2019-01-21;AMS;9998.64
2019-01-21;AMS;6677.47
2019-01-21;AMS;41797.45
2019-01-21;AMS;9175.05
2019-01-21;AMS;5097.25
2019-01-21;GLD;154134.32
2019-01-21;AMS;24422.5
2019-01-21;AMS;9911.64
2019-01-21;AMS;7792.53
2019-01-21;GLD;281979.87
2019-01-21;AMS;33682.23
2019-01-21;AMS;0.0
2019-01-21;GLD;12313.14
2019-01-21;AMS;77923.09
2019-01-22;RBNH;15108.49
2019-01-22;AMS;5799.01
2019-01-22;RBNH;6271.69
2019-01-22;AMS;4709.52
2019-01-22;GLD;18365.72
2019-01-22;AMS;2036.76
2019-01-22;AMS;26561.52
2019-01-22;GLD;4709.52
2019-01-22;AMS;390.76
2019-01-22;RBNH;11504.63
2019-01-22;RBNH;8288.89
2019-01-22;AMS;21136.64
2019-01-22;AMS;6677.47
2019-01-23;AMS;0.0
2019-01-23;GLD;7792.53
2019-01-23;NHN;7733.79
2019-01-23;AMS;8288.89
2019-01-23;AMS;9911.64
2019-01-23;GLD;0.0
2019-01-23;GLD;21286.64
2019-01-23;AMS;8288.89
2019-01-23;AMS;5301.14
2019-01-23;AMS;5799.01
2019-01-23;AMS;390.76
2019-01-23;AMS;4709.52
2019-01-23;AMS;3465.25
2019-01-23;GLD;4709.52
2019-01-23;AMS;15738.6
2019-01-23;GLD;19959.84
2019-01-23;AMS;6677.47
2019-01-24;FNOP;17942.32
2019-01-24;RBNH;182410.76
2019-01-24;FNOP;24837.21
2019-01-24;GLD;4709.52
2019-01-24;GLD;7136.64
2019-01-24;GLD;976.9
2019-01-24;FNOP;13456.74
2019-01-24;RBNH;12867.4
2019-01-24;FNOP;26074.32
2019-01-24;GLD;58801.16
2019-01-24;NHN;1386.1
2019-01-24;RBNH;60243.8
2019-01-24;GLD;7136.64
2019-01-24;GLD;8288.89
2019-01-24;GLD;28968.86
2019-01-24;GLD;683.83
2019-01-24;GLD;9132.57
2019-01-24;GLD;19405.4
2019-01-24;GLD;14929.17
2019-01-24;GLD;3907.6
2019-01-24;GLD;7623.55
2019-01-24;GLD;88488.26
2019-01-24;NHN;7724.79
2019-01-24;GLD;28415.05
2019-01-24;GLD;7733.79
2019-01-24;GLD;7762.16
2019-01-24;RBNH;61683.97
2019-01-25;AMS;683.83
2019-01-25;AMS;7792.53
2019-01-25;NHN;3742.47
2019-01-25;AMS;4709.52
2019-01-25;AMS;0.0
2019-01-25;NHN;200.0
2019-01-25;FNOP;27306.17
2019-01-25;FNOP;9475.93
2019-01-25;AMS;18756.48
2019-01-25;NHN;162812.28
2019-01-25;GLD;14554.05
2019-01-25;NHN;8288.89
2019-01-25;NHN;33682.23
2019-01-25;NHN;2229.6
2019-01-25;NHN;61876.12
2019-01-25;NHN;53191.06
2019-01-25;NHN;71361.5
2019-01-28;RBNH;8288.89
2019-01-28;GLD;33266.4
2019-01-28;GLD;7724.79
2019-01-28;RBNH;61958.67
2019-01-28;GLD;7724.79
2019-01-28;RBNH;8288.89
2019-01-28;RBNH;12890.73
2019-01-28;AMS;68802.65
2019-01-28;AMS;149976.02
2019-01-28;GLD;80948.24
2019-01-28;GLD;7724.79
2019-01-28;GLD;16078.76
2019-01-28;GLD;7733.79
2019-01-28;AMS;66060.36
2019-01-29;AMS;4709.52
2019-01-29;AMS;110194.95
2019-01-29;NHN;70136.66
2019-01-29;AMS;36593.04
2019-01-29;AMS;22427.9
2019-01-29;AMS;41583.0
2019-01-29;AMS;8288.89
2019-01-29;AMS;21068.72
2019-01-29;AMS;61876.12
2019-01-29;RBNH;8288.89
2019-01-29;RBNH;8288.89
2019-01-29;GLD;12444.39
2019-01-29;RBNH;93838.97
2019-01-29;NHN;8288.89
2019-01-29;RBNH;970.27
2019-01-29;NHN;106729.7
2019-01-29;AMS;53614.92
2019-01-29;AMS;8288.89
2019-01-29;AMS;26335.9
2019-01-29;AMS;238461.29
2019-01-29;GLD;36886.97
2019-01-30;GLD;693.05
2019-01-30;GLD;105.24
2019-01-30;GLD;8288.89
2019-01-30;GLD;190.27
2019-01-30;GLD;203.89
2019-01-30;AMS;15247.1
2019-01-31;FNOP;3332.88
2019-01-31;FNOP;8288.89
2019-01-31;GLD;24837.21
2019-01-31;FNOP;90650.94
2019-01-31;FNOP;61876.12
2019-01-31;FNOP;8767.27
2019-01-31;FNOP;19538.0
2019-01-31;RBNH;4709.52
2019-01-31;GLD;3262.24
2019-01-31;FNOP;65244.8
2019-01-31;FNOP;50299.2
2019-01-31;FNOP;37300.0
2019-01-31;FNOP;7623.55
2019-01-31;GLD;5800.0
2019-02-01;GLD;4077.92
2019-02-01;GLD;8288.89
2019-02-01;GLD;6039.2
2019-02-01;NHN;4709.52
2019-02-01;RBNH;4709.52
2019-02-01;GLD;452.94
2019-02-01;GLD;50266.14
2019-02-01;RBNH;4709.52
2019-02-01;RBNH;0.0
2019-02-01;RBNH;293.07
2019-02-01;GLD;67780.29
2019-02-01;GLD;28968.86
2019-02-01;GLD;9220.92
2019-02-01;RBNH;0.0
2019-02-01;RBNH;4709.52
2019-02-01;GLD;5335.46
2019-02-01;GLD;9220.92
2019-02-01;GLD;5471.22
2019-02-01;NHN;0.0
2019-02-04;FNOP;48729.71
2019-02-04;AMS;7724.79
2019-02-04;FNOP;50266.14
2019-02-04;AMS;24672.58
2019-02-04;GLD;39890.5
2019-02-04;AMS;35761.38
2019-02-04;RBNH;1851.6
2019-02-04;GLD;6271.69
2019-02-04;FNOP;54547.71
2019-02-04;AMS;85587.12
2019-02-04;RBNH;24837.21
2019-02-04;FNOP;61876.12
2019-02-04;RBNH;26074.32
2019-02-04;NHN;19053.06
2019-02-04;AMS;7724.79
2019-02-04;FNOP;226165.41
2019-02-04;AMS;7724.79
2019-02-04;AMS;164295.68
2019-02-04;AMS;6131.4
2019-02-04;FNOP;118511.55
2019-02-04;AMS;3762.45
2019-02-04;AMS;15940.15
2019-02-04;FNOP;14653.5
2019-02-04;AMS;22626.48
2019-02-04;NHN;6248.25
2019-02-04;GLD;53763.84
2019-02-04;AMS;2079.15
2019-02-04;AMS;8288.89
2019-02-04;RBNH;31195.17
2019-02-04;NHN;12890.73
2019-02-04;RBNH;124372.9
2019-02-05;AMS;8288.89
2019-02-05;AMS;9911.64
2019-02-05;RBNH;4709.52
2019-02-05;AMS;0.0
2019-02-05;AMS;0.0
2019-02-05;RBNH;293.07
2019-02-05;AMS;6930.5
2019-02-05;RBNH;4709.52
2019-02-05;AMS;0.0
2019-02-05;NHN;8288.89
2019-02-05;RBNH;195.38
2019-02-05;AMS;119479.54
2019-02-05;NHN;56275.66
2019-02-05;AMS;71313.7
2019-02-05;NHN;4709.52
2019-02-05;AMS;9175.05
2019-02-05;AMS;5262.0
2019-02-05;AMS;20791.5
2019-02-05;GLD;3000.0
2019-02-05;AMS;9911.64
2019-02-05;NHN;7733.79
2019-02-05;AMS;46891.2
2019-02-05;GLD;3049.42
2019-02-05;AMS;17049.03
2019-02-05;AMS;0.0
2019-02-05;NHN;97.69
2019-02-06;FNOP;8288.89
2019-02-06;FNOP;10534.36
2019-02-06;RBNH;4709.52
2019-02-06;NHN;42830.49
2019-02-06;AMS;97.69
2019-02-06;AMS;4709.52
2019-02-06;GLD;55998.44
2019-02-07;RBNH;6677.47
2019-02-07;RBNH;5799.01
2019-02-07;RBNH;14571.87
2019-02-07;GLD;7724.79
2019-02-07;GLD;28968.86
2019-02-07;GLD;5143.0
2019-02-07;GLD;33220.72
2019-02-07;GLD;7724.79
2019-02-07;GLD;15385.71
2019-02-07;FNOP;4900.0
2019-02-07;FNOP;8288.89
2019-02-07;FNOP;6839.56
2019-02-07;GLD;21297.28
2019-02-07;GLD;32711.96
2019-02-07;FNOP;7943.8
2019-02-07;FNOP;7136.64
2019-02-07;FNOP;19556.93
2019-02-07;FNOP;7792.53
2019-02-07;FNOP;9148.26
2019-02-07;GLD;7724.79
2019-02-07;GLD;23840.92
2019-02-07;GLD;24837.21
2019-02-07;FNOP;8316.6
2019-02-07;RBNH;5369.64
2019-02-07;FNOP;56155.75
2019-02-07;GLD;38949.41
2019-02-07;FNOP;96643.86
2019-02-07;GLD;35345.55
2019-02-07;GLD;48513.5
2019-02-07;FNOP;65176.32
2019-02-07;FNOP;142519.11
2019-02-07;RBNH;6231.18
2019-02-07;RBNH;455.4
2019-02-08;RBNH;2633.59
2019-02-08;GLD;7900.77
2019-02-08;NHN;4166.1
2019-02-08;NHN;23377.59
2019-02-08;NHN;33820.84
2019-02-08;GLD;26074.32
2019-02-08;GLD;21297.28
2019-02-08;GLD;7724.79
2019-02-08;GLD;4884.5
2019-02-08;GLD;8288.89
2019-02-08;GLD;28968.86
2019-02-08;GLD;17603.47
2019-02-08;NHN;21297.28
2019-02-08;GLD;14631.75
2019-02-08;GLD;28544.6
2019-02-08;GLD;19405.4
2019-02-08;GLD;35007.56
2019-02-08;NHN;123557.34
2019-02-08;NHN;17907.0
2019-02-08;GLD;5821.62
2019-02-08;NHN;5300.0
2019-02-11;RBNH;1427.23
2019-02-11;RBNH;58184.25
2019-02-11;AMS;15630.4
2019-02-11;RBNH;21286.64
2019-02-11;NHN;3058.35
2019-02-11;RBNH;1975.3
2019-02-11;GLD;1108.88
2019-02-11;NHN;84552.1
2019-02-11;AMS;35345.55
2019-02-11;GLD;21286.64
2019-02-11;NHN;7733.79
2019-02-11;RBNH;370.32
2019-02-11;GLD;2446.68
2019-02-11;AMS;0.0
2019-02-11;RBNH;28968.86
2019-02-11;GLD;8288.89
2019-02-11;RBNH;8416.29
2019-02-11;NHN;13299.2
2019-02-11;NHN;58801.16
2019-02-11;AMS;8288.89
2019-02-11;NHN;8288.89
2019-02-11;NHN;1203.54
2019-02-12;GLD;17193.44
2019-02-12;RBNH;6943.5
2019-02-12;GLD;5788.2
2019-02-12;RBNH;12917.16
2019-02-12;GLD;1811.76
2019-02-12;GLD;693.05
2019-02-12;GLD;4709.52
2019-02-12;NHN;7803.6
2019-02-12;RBNH;6093.0
2019-02-12;NHN;10238.06
2019-02-12;GLD;9564.09
2019-02-12;RBNH;19227.81
2019-02-12;AMS;69305.0
2019-02-12;GLD;5143.0
2019-02-12;GLD;9220.92
2019-02-12;AMS;116542.7
2019-02-12;AMS;13260.24
2019-02-12;AMS;64730.87
2019-02-12;AMS;6237.45
2019-02-12;RBNH;7128.66
2019-02-12;GLD;78503.04
2019-02-12;NHN;3607.2
2019-02-12;AMS;11722.8
2019-02-13;GLD;18573.74
2019-02-13;NHN;50731.26
2019-02-13;AMS;5799.01
2019-02-13;GLD;9220.92
2019-02-13;NHN;7792.53
2019-02-13;AMS;46486.92
2019-02-13;AMS;92.58
2019-02-13;GLD;137753.64
2019-02-13;AMS;11920.46
2019-02-13;GLD;12100.0
2019-02-13;AMS;71799.98
2019-02-13;AMS;61876.12
2019-02-13;GLD;3703.2
2019-02-13;GLD;5799.01
2019-02-13;AMS;27741.84
2019-02-13;GLD;8288.89
2019-02-13;GLD;86076.81
2019-02-13;AMS;8288.89
2019-02-13;GLD;4709.52
2019-02-13;AMS;23702.31
2019-02-13;AMS;0.0
2019-02-13;AMS;0.0
2019-02-13;GLD;6524.48
2019-02-13;AMS;6605.2
2019-02-13;AMS;4709.52
2019-02-13;AMS;49899.6
2019-02-13;AMS;23968.2
2019-02-13;GLD;5799.01
2019-02-13;GLD;487908.77
2019-02-13;GLD;7207.72
2019-02-13;AMS;8288.89
2019-02-13;AMS;22224.01
2019-02-13;NHN;238270.59
2019-02-13;GLD;39008.95
2019-02-13;AMS;14554.05
2019-02-13;AMS;18115.5
2019-02-13;AMS;7724.79
2019-02-13;GLD;21286.64
2019-02-13;AMS;25577.76
2019-02-13;AMS;6677.47
2019-02-13;AMS;2772.2
2019-02-13;GLD;97.69
2019-02-13;GLD;6677.47
2019-02-13;AMS;146088.36
2019-02-14;GLD;1172.28
2019-02-14;FNOP;33127.95
2019-02-14;NHN;4709.52
2019-02-14;NHN;8454.24
2019-02-14;FNOP;68611.95
2019-02-14;FNOP;22454.82
2019-02-14;FNOP;55791.51
2019-02-14;FNOP;7207.72
2019-02-14;AMS;0.0
2019-02-14;GLD;18435.13
2019-02-14;NHN;8288.89
2019-02-14;FNOP;8288.89
2019-02-14;GLD;8288.89
2019-02-14;NHN;6056.78
2019-02-14;NHN;10534.36
2019-02-14;GLD;4709.52
2019-02-14;AMS;8288.89
2019-02-14;GLD;8288.89
2019-02-14;GLD;10118.53
2019-02-14;NHN;89957.89
2019-02-14;FNOP;46207.37
2019-02-14;FNOP;50266.14
2019-02-14;GLD;6677.47
2019-02-14;GLD;3188.03
2019-02-14;AMS;78136.66
2019-02-14;NHN;187578.8
2019-02-14;GLD;5799.01
2019-02-14;NHN;3483.75
2019-02-14;GLD;30632.81
2019-02-14;NHN;6514.67
2019-02-14;GLD;9220.92
2019-02-14;GLD;24118.14
2019-02-14;GLD;648.06
2019-02-14;GLD;30853.88
2019-02-14;GLD;221016.76
2019-02-14;NHN;9009.65
2019-02-14;NHN;24837.21
2019-02-15;AMS;22134.6
2019-02-15;FNOP;7724.79
2019-02-15;RBNH;43523.54
2019-02-15;RBNH;32826.29
2019-02-15;RBNH;82611.56
2019-02-15;NHN;4709.52
2019-02-15;RBNH;6913.55
2019-02-15;RBNH;5799.01
2019-02-15;RBNH;87153.11
2019-02-15;FNOP;44077.98
2019-02-15;FNOP;12986.36
2019-02-15;GLD;7733.79
2019-02-15;RBNH;3555.54
2019-02-15;RBNH;3055.14
2019-02-15;RBNH;25069.8
2019-02-15;RBNH;6677.47
2019-02-15;RBNH;17938.88
2019-02-15;NHN;683.83
2019-02-15;NHN;781.52
2019-02-15;NHN;4709.52
2019-02-15;RBNH;26074.32
2019-02-15;RBNH;5284.15
2019-02-15;FNOP;24837.21
2019-02-15;RBNH;81352.11
2019-02-15;FNOP;14692.66
2019-02-15;RBNH;2242.79
2019-02-15;FNOP;2499.66
2019-02-15;RBNH;4709.52
2019-02-15;RBNH;26074.32
2019-02-15;RBNH;488.45
2019-02-15;FNOP;11724.96
2019-02-15;FNOP;97.69
2019-02-18;AMS;5301.14
2019-02-18;AMS;15524.32
2019-02-18;GLD;8500.0
2019-02-18;AMS;18850.96
2019-02-18;GLD;9220.92
2019-02-18;RBNH;9702.7
2019-02-18;RBNH;3670.02
2019-02-18;AMS;7724.79
2019-02-18;AMS;7724.79
2019-02-18;AMS;9911.64
2019-02-19;AMS;2772.2
2019-02-19;AMS;2314.5
2019-02-19;RBNH;5544.4
2019-02-19;GLD;12369.37
2019-02-19;AMS;7346.33
2019-02-19;AMS;0.0
2019-02-19;GLD;4689.47
2019-02-19;AMS;0.0
2019-02-19;RBNH;10194.5
2019-02-19;RBNH;49674.42
2019-02-19;GLD;24837.21
2019-02-19;AMS;900.0
2019-02-19;AMS;5799.01
2019-02-19;AMS;6677.47
2019-02-19;GLD;759.0
2019-02-19;AMS;58216.2
2019-02-19;GLD;5143.0
2019-02-19;AMS;4709.52
2019-02-19;GLD;452.94
2019-02-19;AMS;30494.2
2019-02-19;AMS;390.76
2019-02-20;RBNH;301.96
2019-02-20;AMS;6605.2
2019-02-20;RBNH;9220.92
2019-02-20;RBNH;8288.89
2019-02-20;AMS;9911.64
2019-02-20;RBNH;6677.47
2019-02-20;AMS;7724.79
2019-02-20;AMS;27999.22
2019-02-20;AMS;87876.59
2019-02-20;RBNH;9220.92
2019-02-20;AMS;8593.82
2019-02-20;AMS;8288.89
2019-02-20;AMS;8361.96
2019-02-20;AMS;18824.82
2019-02-20;AMS;97.69
2019-02-20;AMS;2229.6
2019-02-20;RBNH;76235.5
2019-02-20;RBNH;0.0
2019-02-20;RBNH;255270.28
2019-02-20;AMS;4319.85
2019-02-20;AMS;2772.2
2019-02-20;RBNH;5799.01
2019-02-20;AMS;4709.52
2019-02-20;AMS;8288.89
2019-02-20;AMS;21286.64
2019-02-20;RBNH;6271.69
2019-02-20;RBNH;9870.8
2019-02-21;GLD;1660.73
2019-02-21;GLD;9148.26
2019-02-21;GLD;5799.01
2019-02-21;GLD;17880.69
2019-02-21;NHN;24837.21
2019-02-21;NHN;69322.6
2019-02-21;FNOP;8288.89
2019-02-21;RBNH;7943.8
2019-02-21;GLD;83720.44
2019-02-21;RBNH;10201.24
2019-02-21;FNOP;3516.84
2019-02-21;GLD;7326.75
2019-02-21;GLD;61876.12
2019-02-21;FNOP;56155.75
2019-02-21;FNOP;8288.89
2019-02-21;GLD;8332.2
2019-02-21;FNOP;28471.98
2019-02-21;GLD;7724.79
2019-02-21;GLD;7724.79
2019-02-21;FNOP;9378.94
2019-02-21;GLD;18350.1
2019-02-21;NHN;58801.16
2019-02-21;FNOP;28968.86
2019-02-21;GLD;3058.35
2019-02-21;GLD;29057.7
2019-02-21;NHN;43939.37
2019-02-21;GLD;4782.9
2019-02-21;FNOP;4709.52
2019-02-21;RBNH;24256.75
2019-02-21;RBNH;1382.71
2019-02-21;RBNH;5301.14
2019-02-21;RBNH;117606.5
2019-02-21;RBNH;905.88
2019-02-21;FNOP;72493.03
2019-02-21;NHN;28246.79
2019-02-21;FNOP;152305.83
2019-02-21;GLD;42439.59
2019-02-21;NHN;11227.41
2019-02-21;FNOP;61544.7
2019-02-21;GLD;21286.64
2019-02-21;FNOP;8288.89
2019-02-21;GLD;23147.87
2019-02-21;FNOP;4515.26
2019-02-21;FNOP;1108.88
2019-02-21;FNOP;2772.2
2019-02-21;GLD;36731.65
2019-02-21;GLD;4709.52
2019-02-21;GLD;7792.53
2019-02-21;RBNH;5143.0
2019-02-21;GLD;4709.52
2019-02-21;GLD;6376.06
2019-02-21;GLD;29385.32
2019-02-21;GLD;7724.79
2019-02-21;FNOP;18296.52
2019-02-21;GLD;7724.79
2019-02-21;GLD;25365.63
2019-02-21;GLD;34253.52
2019-02-21;NHN;21761.77
2019-02-21;GLD;77682.09
2019-02-21;GLD;61876.12
2019-02-21;GLD;976.9
2019-02-21;GLD;5799.01
2019-02-21;GLD;52825.65
2019-02-21;FNOP;24837.21
2019-02-21;FNOP;4709.52
2019-02-21;FNOP;42613.01
2019-02-21;NHN;8288.89
2019-02-21;NHN;23009.26
2019-02-21;FNOP;56155.75
2019-02-21;GLD;56155.75
2019-02-21;NHN;218162.3
2019-02-21;GLD;10888.31
2019-02-21;NHN;7724.79
2019-02-21;GLD;8288.89
2019-02-21;FNOP;6098.84
2019-02-21;NHN;5666.02
2019-02-21;GLD;6677.47
2019-02-21;GLD;9220.92
2019-02-21;GLD;56155.75
2019-02-21;FNOP;35680.75
2019-02-21;GLD;28137.83
2019-02-21;GLD;8288.89
2019-02-22;GLD;4709.52
2019-02-22;RBNH;44355.2
2019-02-22;GLD;4709.52
2019-02-22;FNOP;30494.2
2019-02-22;RBNH;4709.52
2019-02-22;AMS;4918.8
2019-02-22;NHN;0.0
2019-02-22;RBNH;390.76
2019-02-22;RBNH;1062.6
2019-02-22;NHN;3980.94
2019-02-22;FNOP;8288.89
2019-02-22;NHN;1758.42
2019-02-22;GLD;197.53
2019-02-22;RBNH;5284.15
2019-02-22;NHN;64869.48
2019-02-22;NHN;94670.63
2019-02-22;NHN;16592.52
2019-02-22;RBNH;12474.9
2019-02-22;NHN;3419.15
2019-02-22;AMS;488.45
2019-02-22;GLD;7733.79
2019-02-22;NHN;11781.85
2019-02-22;NHN;40058.29
2019-02-22;NHN;7724.79
2019-02-22;NHN;6514.67
2019-02-22;FNOP;6116.7
2019-02-22;NHN;7724.79
2019-02-22;NHN;21900.38
2019-02-22;FNOP;24837.21
2019-02-22;NHN;61876.12
2019-02-22;NHN;37515.76
2019-02-22;AMS;4709.52
2019-02-22;RBNH;6231.18
2019-02-22;RBNH;8163.37
2019-02-22;RBNH;117440.64
2019-02-25;AMS;52841.6
2019-02-25;RBNH;158118.81
2019-02-25;FNOP;24837.21
